旧文件,新文件,处理
project/lib/+tblR2/lcs_ftle.m,cases/tandem_baseline_r2/lib/+tblR2/lcs_ftle.m,原库复制
project/lib/+tblR2/section4_vlsm_analysis.m,cases/tandem_baseline_r2/lib/+tblR2/section4_vlsm_analysis.m,原库定向修改/新实质检查
project/lib/+tblR2/validate_dual_source_grid.m,cases/tandem_baseline_r2/lib/+tblR2/validate_dual_source_grid.m,原库复制
project/lib/+tblR2/phase_stats_cache.m,cases/tandem_baseline_r2/lib/+tblR2/phase_stats_cache.m,原库复制
project/lib/+tblR2/dmd_module.m,cases/tandem_baseline_r2/lib/+tblR2/dmd_module.m,原库定向修改/新实质检查
project/lib/+tblR2/build_pod_cluster_sequence.m,cases/tandem_baseline_r2/lib/+tblR2/build_pod_cluster_sequence.m,原库复制
project/lib/+tblR2/trusted_domain_mask.m,cases/tandem_baseline_r2/lib/+tblR2/trusted_domain_mask.m,原库复制
project/lib/+d23/connectivity_comparison.m,cases/tandem_baseline_r2/lib/+d23/connectivity_comparison.m,原库复制
project/lib/+d23/conditional_spectra.m,cases/tandem_baseline_r2/lib/+d23/conditional_spectra.m,原库复制
project/lib/+d23/empty_pairs.m,cases/tandem_baseline_r2/lib/+d23/empty_pairs.m,原库复制
project/lib/+d23/optional_artifact_contract.m,cases/tandem_baseline_r2/lib/+d23/optional_artifact_contract.m,原库复制
project/lib/+d23/update_manifest_state.m,cases/tandem_baseline_r2/lib/+d23/update_manifest_state.m,原库复制
project/lib/+d23/export_figure.m,cases/tandem_baseline_r2/lib/+d23/export_figure.m,原库复制
project/lib/+d23/sha256_text.m,cases/tandem_baseline_r2/lib/+d23/sha256_text.m,原库复制
project/lib/+d23/retain_nonoverlapping_complete_ss.m,cases/tandem_baseline_r2/lib/+d23/retain_nonoverlapping_complete_ss.m,原库复制
project/lib/+d23/select_gallery.m,cases/tandem_baseline_r2/lib/+d23/select_gallery.m,原库复制
project/lib/+d23/prepare_detection_statistics.m,cases/tandem_baseline_r2/lib/+d23/prepare_detection_statistics.m,原库复制
project/lib/+d23/prepare_source.m,cases/tandem_baseline_r2/lib/+d23/prepare_source.m,原库复制
project/lib/+d23/spatial_active_mask.m,cases/tandem_baseline_r2/lib/+d23/spatial_active_mask.m,原库复制
project/lib/+d23/create_gallery.m,cases/tandem_baseline_r2/lib/+d23/create_gallery.m,原库复制
project/lib/+d23/connectivity_length_distribution.m,cases/tandem_baseline_r2/lib/+d23/connectivity_length_distribution.m,原库复制
project/lib/+d23/write_outputs.m,cases/tandem_baseline_r2/lib/+d23/write_outputs.m,原库复制
project/lib/+d23/finalize_context.m,cases/tandem_baseline_r2/lib/+d23/finalize_context.m,原库复制
project/lib/+d23/retain_one_complete_ss.m,cases/tandem_baseline_r2/lib/+d23/retain_one_complete_ss.m,原库复制
project/lib/+d23/identify_frame.m,cases/tandem_baseline_r2/lib/+d23/identify_frame.m,原库复制
project/lib/+d23/atomic_writetable.m,cases/tandem_baseline_r2/lib/+d23/atomic_writetable.m,原库复制
project/lib/+d23/empty_frame_summary.m,cases/tandem_baseline_r2/lib/+d23/empty_frame_summary.m,原库复制
project/lib/+d23/utc_now.m,cases/tandem_baseline_r2/lib/+d23/utc_now.m,原库复制
project/lib/+d23/match_noss.m,cases/tandem_baseline_r2/lib/+d23/match_noss.m,原库复制
project/lib/+d23/run_experiment.m,cases/tandem_baseline_r2/lib/+d23/run_experiment.m,原库复制
project/lib/+d23/atomic_write_text.m,cases/tandem_baseline_r2/lib/+d23/atomic_write_text.m,原库复制
project/lib/+d23/joint_pod_array.m,cases/tandem_baseline_r2/lib/+d23/joint_pod_array.m,原库复制
project/lib/+d23/summarize_frame.m,cases/tandem_baseline_r2/lib/+d23/summarize_frame.m,原库复制
project/lib/+d23/delta99_from_profile.m,cases/tandem_baseline_r2/lib/+d23/delta99_from_profile.m,原库复制
project/lib/+d23/build_pod_cache.m,cases/tandem_baseline_r2/lib/+d23/build_pod_cache.m,原库复制
project/lib/+d23/read_chunk.m,cases/tandem_baseline_r2/lib/+d23/read_chunk.m,原库复制
project/lib/+d23/spatial_periodogram.m,cases/tandem_baseline_r2/lib/+d23/spatial_periodogram.m,原库复制
project/lib/+d23/verify_run.m,cases/tandem_baseline_r2/lib/+d23/verify_run.m,原库复制
project/lib/+d23/initialize_run.m,cases/tandem_baseline_r2/lib/+d23/initialize_run.m,原库复制
project/lib/+d23/default_config.m,cases/tandem_baseline_r2/lib/+d23/default_config.m,原库复制
project/lib/+d23/balance_colormap.m,cases/tandem_baseline_r2/lib/+d23/balance_colormap.m,原库复制
project/lib/+d23/load_utau.m,cases/tandem_baseline_r2/lib/+d23/load_utau.m,原库复制
project/lib/+d23/run_detection.m,cases/tandem_baseline_r2/lib/+d23/run_detection.m,原库复制
project/lib/+d23/build_summary.m,cases/tandem_baseline_r2/lib/+d23/build_summary.m,原库复制
project/lib/+d23/plot_summary.m,cases/tandem_baseline_r2/lib/+d23/plot_summary.m,原库复制
project/lib/+d23/apply_gaussian.m,cases/tandem_baseline_r2/lib/+d23/apply_gaussian.m,原库复制
project/lib/+d23/draw_spatial_exclusion.m,cases/tandem_baseline_r2/lib/+d23/draw_spatial_exclusion.m,原库复制
project/lib/+d23/merge_config.m,cases/tandem_baseline_r2/lib/+d23/merge_config.m,原库复制
project/lib/+d23/config_hash.m,cases/tandem_baseline_r2/lib/+d23/config_hash.m,原库复制
project/lib/+d23/select_pod_rank.m,cases/tandem_baseline_r2/lib/+d23/select_pod_rank.m,原库复制
project/lib/+d23/statistics_from_arrays.m,cases/tandem_baseline_r2/lib/+d23/statistics_from_arrays.m,原库复制
project/lib/+d23/empty_catalog.m,cases/tandem_baseline_r2/lib/+d23/empty_catalog.m,原库复制
project/lib/+d23/validate_config.m,cases/tandem_baseline_r2/lib/+d23/validate_config.m,原库复制
project/lib/+d23/fluctuation_chunk.m,cases/tandem_baseline_r2/lib/+d23/fluctuation_chunk.m,原库复制
project/lib/+d23/collect_detection.m,cases/tandem_baseline_r2/lib/+d23/collect_detection.m,原库复制
project/lib/+d23/resolve_spatial_exclusion.m,cases/tandem_baseline_r2/lib/+d23/resolve_spatial_exclusion.m,原库复制
project/lib/+d23/atomic_save.m,cases/tandem_baseline_r2/lib/+d23/atomic_save.m,原库复制
project/lib/+d23/compute_statistics.m,cases/tandem_baseline_r2/lib/+d23/compute_statistics.m,原库复制
project/lib/+tblR2/+wall/calibration_secant_cf.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/calibration_secant_cf.m,原库复制
project/lib/+tblR2/+wall/prepare_drag_inputs.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/prepare_drag_inputs.m,原库复制
project/lib/+tblR2/+wall/momentum_calibration_quality.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/momentum_calibration_quality.m,原库复制
project/lib/+tblR2/+wall/smooth_streamwise_series.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/smooth_streamwise_series.m,原库复制
project/lib/+tblR2/+wall/shear_momentum.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/shear_momentum.m,原库复制
project/lib/+tblR2/+wall/system_secant_cf.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/system_secant_cf.m,原库复制
project/lib/+tblR2/+wall/prepare_edge_velocity.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/prepare_edge_velocity.m,原库复制
project/lib/+tblR2/+wall/select_secant_theta.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/select_secant_theta.m,原库复制
project/lib/+tblR2/+wall/secant_cf.m,cases/tandem_baseline_r2/lib/+tblR2/+wall/secant_cf.m,原库复制
project/lib/+tblR2/+singlecase/dat_manifest.m,cases/tandem_baseline_r2/lib/+tblR2/+singlecase/dat_manifest.m,原库复制
project/lib/+tblR2/+singlecase/select_u_tau.m,cases/tandem_baseline_r2/lib/+tblR2/+singlecase/select_u_tau.m,原库复制
project/lib/+tblR2/+vlsm/structure_geometry.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsm/structure_geometry.m,原库复制
project/lib/+tblR2/+vlsm/merge_streamwise_neighbors.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsm/merge_streamwise_neighbors.m,原库复制
project/lib/+tblR2/+vlsm/connected_components_2d.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsm/connected_components_2d.m,原库复制
project/lib/+tblR2/+bl/composite_profile_fit_rodriguez_lopez.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/composite_profile_fit_rodriguez_lopez.m,原库复制
project/lib/+tblR2/+bl/load_cf_chart.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/load_cf_chart.m,原库复制
project/lib/+tblR2/+bl/integral_params.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/integral_params.m,原库复制
project/lib/+tblR2/+bl/cfnum_to_cf.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/cfnum_to_cf.m,原库复制
project/lib/+tblR2/+bl/local_uinf.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/local_uinf.m,原库复制
project/lib/+tblR2/+bl/interp_cf_curve.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/interp_cf_curve.m,原库复制
project/lib/+tblR2/+bl/loglaw_diagnostic_function.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/loglaw_diagnostic_function.m,原库复制
project/lib/+tblR2/+bl/loglaw_fit_chen.m,cases/tandem_baseline_r2/lib/+tblR2/+bl/loglaw_fit_chen.m,原库复制
project/lib/+tblR2/+spectra/welch_series.m,cases/tandem_baseline_r2/lib/+tblR2/+spectra/welch_series.m,原库复制
project/lib/+tblR2/+stats/quadrant_mask.m,cases/tandem_baseline_r2/lib/+tblR2/+stats/quadrant_mask.m,原库复制
project/lib/+tblR2/+stats/prepare_case_views.m,cases/tandem_baseline_r2/lib/+tblR2/+stats/prepare_case_views.m,原库复制
project/lib/+tblR2/+pod/snapshot_decomposition.m,cases/tandem_baseline_r2/lib/+tblR2/+pod/snapshot_decomposition.m,原库复制
project/lib/+tblR2/+pod/snapshot_decomposition_memory_friendly.m,cases/tandem_baseline_r2/lib/+tblR2/+pod/snapshot_decomposition_memory_friendly.m,原库复制
project/lib/+tblR2/+vlsmpod/track_structures.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/track_structures.m,原库复制
project/lib/+tblR2/+vlsmpod/classify_wall_attached.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/classify_wall_attached.m,原库复制
project/lib/+tblR2/+vlsmpod/superstructure_statistics.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/superstructure_statistics.m,原库复制
project/lib/+tblR2/+vlsmpod/identify_frame.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/identify_frame.m,原库复制
project/lib/+tblR2/+vlsmpod/run_catalog.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/run_catalog.m,原库复制
project/lib/+tblR2/+vlsmpod/load_case_config.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/load_case_config.m,原库复制
project/lib/+tblR2/+vlsmpod/decompose_superstructure.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/decompose_superstructure.m,原库复制
project/lib/+tblR2/+vlsmpod/frame_field.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/frame_field.m,原库复制
project/lib/+tblR2/+vlsmpod/prepare_context.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/prepare_context.m,原库复制
project/lib/+tblR2/+vlsmpod/resolve_settings.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/resolve_settings.m,原库复制
project/lib/+tblR2/+vlsmpod/wall_attached_statistics.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/wall_attached_statistics.m,原库复制
project/lib/+tblR2/+vlsmpod/annotate.m,cases/tandem_baseline_r2/lib/+tblR2/+vlsmpod/annotate.m,原库复制
project/lib/+tblR2/+io/contamination_mask.m,cases/tandem_baseline_r2/lib/+tblR2/+io/contamination_mask.m,原库复制
project/lib/+tblR2/+io/load_tecplot_dat.m,cases/tandem_baseline_r2/lib/+tblR2/+io/load_tecplot_dat.m,原库复制
project/lib/+tblR2/+io/extract_velocity_profile.m,cases/tandem_baseline_r2/lib/+tblR2/+io/extract_velocity_profile.m,原库复制
project/lib/+tblR2/+io/detect_wall_rows.m,cases/tandem_baseline_r2/lib/+tblR2/+io/detect_wall_rows.m,原库复制
project/lib/+tblR2/+viz/apply_fov_aspect.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/apply_fov_aspect.m,原库复制
project/lib/+tblR2/+viz/turbo_clipped.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/turbo_clipped.m,原库复制
project/lib/+tblR2/+viz/reference_spectrum_colormap.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/reference_spectrum_colormap.m,原库复制
project/lib/+tblR2/+viz/reference_balance_colormap.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/reference_balance_colormap.m,原库复制
project/lib/+tblR2/+viz/resolve_case_colormap.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/resolve_case_colormap.m,原库复制
project/lib/+tblR2/+viz/export_publication_figure.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/export_publication_figure.m,原库复制
project/lib/+tblR2/+viz/robust_limits.m,cases/tandem_baseline_r2/lib/+tblR2/+viz/robust_limits.m,原库复制
project/lib/+tblR2/+bl/data/Cf_chart.txt,cases/tandem_baseline_r2/lib/+tblR2/+bl/data/Cf_chart.txt,原库复制
project/third_party/piDMD/README.md,cases/tandem_baseline_r2/third_party/piDMD/README.md,原资源逐字复制
project/third_party/piDMD/piDMD.m,cases/tandem_baseline_r2/third_party/piDMD/piDMD.m,原资源逐字复制
project/third_party/piDMD/tls.m,cases/tandem_baseline_r2/third_party/piDMD/tls.m,原资源逐字复制
project/third_party/piDMD/LICENSE,cases/tandem_baseline_r2/third_party/piDMD/LICENSE,原资源逐字复制
project/third_party/piDMD/redblue.m,cases/tandem_baseline_r2/third_party/piDMD/redblue.m,原资源逐字复制
project/third_party/piDMD/rq.m,cases/tandem_baseline_r2/third_party/piDMD/rq.m,原资源逐字复制
无,cases/tandem_f40a3_phi0_r2/README.md,新增说明/检查
无,cases/tandem_f40a3_phi0_r2/PARAMETER_MAP.csv,新增说明/检查
project/cases/per_case/tandem_f40a3_phi0_r2/tandem_f40a3_phi0_r2_case.m,cases/tandem_f40a3_phi0_r2/tandem_f40a3_phi0_r2_case.m,P1分节及P2本地化
无,cases/tandem_f40a3_phi0_r2/PARAMETER_GUIDE.md,新增说明/检查
无,cases/tandem_f40a3_phi0_r2/input/README.md,新增说明/检查
无,cases/tandem_f40a3_phi0_r2/output/README.md,新增说明/检查
project/lib/+tblR2/resolve_case_repeats.m,cases/tandem_f40a3_phi0_r2/maintenance/resolve_case_repeats.m,移维护区；日常不调用
validation/run_review_smoke.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/run_review_smoke_for_case.m,仅布局/check入口适配，主体/容差不变
project/tests/test_r2_sequence_cache_contract.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_sequence_cache_contract.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_section4_local_inputs.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_section4_local_inputs.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_cache_statistics_smoke.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_cache_statistics_smoke.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_phase_smoke.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_phase_smoke.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_section4_vlsm_figures.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_section4_vlsm_figures.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_section5_transport.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_section5_transport.m,原测试定位适配或本批新增定向测试；未执行
新增P1工作区元数据测试,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_workspace_results.m,新增测试；未执行
project/tests/test_r2_local_dependencies.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_local_dependencies.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_offline_cache_reuse.m,cases/tandem_f40a3_phi0_r2/maintenance/checks/test_r2_offline_cache_reuse.m,原测试定位适配或本批新增定向测试；未执行
project/lib/+tblR2/map_joint_modes.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/map_joint_modes.m,原库复制
project/lib/+tblR2/mean_stats_cache.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/mean_stats_cache.m,原库复制
project/lib/+tblR2/quadrant_streaming.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/quadrant_streaming.m,原库复制
project/lib/+tblR2/figures_family.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/figures_family.m,原库复制
project/lib/+tblR2/instantaneous_frame_ids.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/instantaneous_frame_ids.m,原库复制
project/lib/+tblR2/pod_cache.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/pod_cache.m,原库复制
project/lib/+tblR2/wall_distance_grid.m,cases/tandem_f40a3_phi0_r2/lib/+tblR2/wall_distance_grid.m,原库复制
